sporder,RT,PUMA,SERIALNO,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
4,P,02000,727,1013394,0251,06,1,,2,2,,2,2,,1,,,,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,05,,2,2,2,,2,,,,,,,,,1,920,999,2,,,01,,,993,,,,0,,,,,002,379,,4,31,32,1,0,0,0,1,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,P,02000,727,1013394,0219,17,1,9,2,2,2,2,2,2,1,2,2,,,000000,,,,1,5,1,5,,,,,,,,,,,,,2,1,2,1,3,006000,00000,11,000000,2,5,7,000000,2,00000,00000,000000,,3,,,2,1,920,999,2,,3,01,9920,,993,,6,9920,0,9920,4,0000000,0006000,002,063,,4,31,32,1,0,0,0,1,0,0,0,,,999920,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P,02000,878,1013394,0041,48,1,1,2,2,2,2,2,2,,2,2,,,000000,015,01,01,2,3,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,11,000000,2,00000,00000,039400,45,1,52,,1,3,996,999,2,,1,01,6870,049,,,4,52M1,0,5330,4,0039400,0039400,010,416,002,1,01,47,0,0,0,0,1,0,1,0,,,434131,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,02000,878,1013394,0037,41,1,1,2,2,2,2,2,2,,,2,,,000000,035,01,01,2,3,1,3,2,0,0,0,1,0,0,0,0,0,0,0,3,5,3,3,3,000000,00000,10,000000,1,,11,000000,1,00000,00000,045000,55,1,50,,1,3,996,999,2,,1,01,4470,121,,,4,4244,0,9620,,0045000,0045000,017,475,002,1,01,47,0,0,0,0,1,0,1,0,,,537062,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P,02000,895,1013394,0093,48,1,1,2,2,2,2,2,2,1,,2,,,001500,030,01,01,1,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,13,000000,1,00000,00000,065000,50,1,50,,1,1,032,999,2,,1,01,0770,031,607,,1,23,0,6200,,0065000,0066500,002,501,002,1,01,47,0,0,0,0,1,0,1,0,,,471011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,02000,895,1013394,0125,51,1,1,2,2,2,2,2,2,,,2,,,001500,007,02,01,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,01,000000,1,,13,000000,2,00000,00000,040000,32,1,50,,1,2,082,022,2,,1,01,7980,049,,,1,6212,0,8760,2,0040000,0041500,012,501,002,1,01,47,0,0,0,0,1,0,1,0,,,519080,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,02000,895,1013394,0130,16,1,1,2,2,2,2,2,2,1,2,2,,,001500,,,,1,5,1,,,,,,,,,,,,,,2,1,2,1,3,000000,00000,02,000000,2,5,7,000000,2,00000,00000,000120,05,1,12,,2,2,032,082,2,1,3,01,9290,,723,,6,814,1,4600,4,0000120,0001620,002,501,,1,01,47,0,0,0,0,1,0,1,1,,,399011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,P,02000,895,1013394,0121,14,1,,2,2,,2,2,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,02,,2,5,4,,1,,,,,,,,,2,032,082,2,1,,01,,,,,,,1,,,,,041,501,,1,01,47,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P,02000,915,1013394,0036,29,1,1,2,2,2,2,2,2,,1,2,,,000000,,,11,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,13,000200,2,00000,00000,018000,30,1,30,,1,1,050,999,2,,1,01,7280,,,,1,5412,0,0800,1,0018200,0018200,006,501,002,1,01,47,0,0,0,0,1,0,1,0,,,132011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P,02000,915,1013394,0036,32,1,1,2,2,2,2,2,2,,,2,,,000000,015,,10,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,01,000000,3,6,12,000000,1,00000,00000,065000,45,1,52,,1,1,050,999,2,,1,01,0490,103,,,1,213,0,0730,,0065000,0065000,002,501,002,1,01,47,0,0,0,0,1,0,1,0,,,1311XX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
