sporder,RT,PUMA,SERIALNO,oldspord,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
01,P,02000,316048,01,1015841,0036,51,1,1,2,2,2,2,2,2,,,2,,,001100,025,,09,2,1,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,11,000000,2,00000,00000,034000,38,1,52,,1,1,098,999,2,,1,01,7980,043,,,1,6212,0,3640,2,0034000,0035100,055,501,002,1,01,47,0,0,0,0,1,0,1,0,,,319091,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,316048,02,1015841,0034,53,1,1,2,2,2,2,2,2,,,2,,,001100,,,,2,1,1,5,,,,,,,,,,,,,2,1,2,2,2,022800,00000,01,026000,1,,9,000000,1,00000,00000,012000,30,1,13,,2,2,032,022,2,,6,01,7290,,,,1,5413,0,1960,,0012000,0061900,055,501,,1,01,47,0,0,0,0,1,0,1,0,,,1940XX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,P,02000,316048,03,1015841,0037,17,1,1,2,2,2,2,2,2,,,2,,,001100,020,01,01,2,5,1,5,,,,,,,,,,,,,3,5,2,3,3,000000,00000,02,000000,2,5,9,000000,1,00000,00000,005200,30,1,28,,1,2,082,032,2,3,1,01,8680,133,,,6,722Z,1,4130,,0005200,0006300,002,501,002,1,01,47,0,0,0,0,1,0,1,1,,,359011,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,316050,01,1015841,0029,65,1,6,2,2,2,2,2,2,,,2,,,005100,,,11,2,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,2,5,2,2,3,000000,00000,00,034900,1,,13,-01500,1,00000,10100,000000,15,1,40,,1,1,082,999,2,,1,01,7380,,,,1,5415,0,1540,,-001500,0048600,038,434,002,1,01,47,0,0,0,0,1,0,1,0,,,173010,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,316050,02,1015841,0033,62,1,1,2,2,2,2,2,2,,,2,,,000000,,,,2,1,1,5,,,,,,,,,,,,,2,1,2,2,2,000000,00000,01,000000,1,,11,000000,2,00000,00000,000000,,2,,,2,1,089,999,2,,6,01,8370,,,,1,6241,0,5700,4,0000000,0000000,026,434,,1,01,47,0,0,0,0,1,0,1,0,,,436010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,316266,01,1015841,0033,60,1,4,2,2,2,2,2,2,,,2,,,007500,020,01,01,2,1,1,5,,,,,,,,,,,,,2,5,2,2,3,000000,00000,00,060000,1,,14,020000,1,00000,00000,075000,40,1,50,,1,1,190,999,2,,1,01,7870,052,,,1,611M1,0,2200,,0095000,0162500,036,501,002,1,01,47,0,0,0,0,1,0,1,0,,,251000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,P,02000,316266,02,1015841,0029,56,1,7,1,2,1,1,2,1,,,2,,,000500,,,,2,1,1,5,,,,,,,,,,,,,1,2,2,2,2,000000,00000,01,000000,1,,14,000000,2,00000,00000,030000,30,1,25,,2,1,190,999,1,,2,01,8370,,,,1,6241,0,3240,4,0030000,0030500,036,501,,1,01,47,0,0,0,0,1,0,1,0,,,291129,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,316656,01,1015841,0059,54,1,6,2,2,2,2,2,2,,,2,,,001200,,,,2,3,1,5,,,,,,,,,,,,,2,5,2,2,3,000000,00000,00,000000,1,,10,060000,1,00000,00000,000000,60,1,14,,2,1,939,999,2,,6,01,0280,,,,4,114,0,6100,,0060000,0061200,025,501,,1,01,47,0,0,0,0,1,0,1,0,,,453000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,P,02000,316737,01,1015841,0037,76,1,6,2,1,2,1,1,1,,,2,,,000000,,,,2,2,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,00,000000,1,,11,000000,2,00000,12000,000000,,2,,,,4,999,999,1,,6,01,7590,,,,3,5614,0,5700,4,0000000,0012000,041,370,,1,01,47,0,0,0,0,1,0,1,0,,,436010,,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
02,P,02000,316737,02,1015841,0034,52,1,1,2,2,2,2,2,2,,,2,,,000920,030,01,01,2,3,1,5,,,,,,,,,,,,,3,5,3,3,3,000000,00000,02,000000,1,,12,000000,1,00000,00000,028800,50,1,52,,,4,999,999,2,,1,01,7590,127,,,4,5614,0,0430,,0028800,0029720,055,370,002,1,01,47,0,0,0,0,1,0,1,0,,,119199,,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0
