RT,PUMA,SERIALNO,SPORDER,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMN,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
P,00002,835,04,1009555,0038,10,1, ,2,2, ,2,2, , , , , , ,,,, ,2,5,1, , , , , , , , , , , , , , , , ,,,02,,2,4,2,,1,,,,, ,,, ,2,014,023,2,1, ,01, , , , , , ,1, , ,,,002,501, ,1,01,47,0,0,0,0,1,0,1,1, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1045,01,1009555,0046,46,1,3,2,2,2,2,2,2, ,2,2, , ,002300,025,01,01,2,5,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,16,000000,2,00000,00000,059000,38,1,38,,1,2,019,010,2, ,1,01,786,055, , ,6,6111,0,232,4,0059000,0061300,006,501,02,1,01,47,0,0,0,0,1,0,1,0, , ,252030, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1137,01,1009555,0048,58,1,1,2,2,2,2,2,2, , ,2, , ,002000,,, ,2,1,1,2,2,0,0,0,1,1,0,0,0,0,1, ,2, , ,000000,00000,00,000000,1, ,9,000000,1,00000,00000,110000,50,1,25,,2,1,204,207,2, ,2,01,607, , , ,1,481,0,002, ,0110000,0112000,017,501, ,1,01,47,0,0,0,0,1,0,1,0, , ,111021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1137,02,1009555,0048,51,1, ,2,2,2,2,2,2, , ,2, , ,000000,,, ,2,1,1,4, , , , , , , , , , ,2, ,2,2, ,000000,00000,01,000000,1, ,9,000000,2,00000,00000,000000,,3,,,2,1,204,207,2, ,6,01, , , , ,1, ,0, ,2,0000000,0000000,017,501, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1137,03,1009555,0046,17,1,1,2,2,2,2,2,2, ,2,2, , ,000000,,, ,2,5,1,4, , , , , , , , , , ,2, ,2,2,2,000000,00000,02,000000,2,5,6,000000,2,00000,00000,002000,20,1,06,,2,1,204,207,2,2,6,01,748, , , ,6,54194,1,961,4,0002000,0002000,002,501, ,1,01,47,0,0,0,0,1,0,1,1, , ,537061, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1137,04,1009555,0046,17,5, ,2,2,2,2,2,2,1,2,2, , ,000000,,, ,1,5,2,4, , , , , , , , , , ,2, ,2,2, ,000000,00000,12,000000,2,5,6,000000,2,00000,00000,000000,,3,,2001,2,1,028,207,2, ,6,01, , ,002,060,6, ,0, ,4,0000000,0000000,078,000, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1229,01,1009555,0040,62,1, ,2,2,2,2,2,2, , ,2, , ,000000,,, ,2,1,1,4, , , , , , , , , , ,2,3,2,2,2,010000,00000,00,016800,1, ,11,000000,2,00000,00000,000000,,3,,,2,1,023,207,2, ,6,01, , , , ,1, ,0, ,4,0000000,0026800,002,501, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1229,02,1009555,0042,49,1,1,2,2,2,2,2,2, , ,2, , ,000400,,, ,2,1,1,4, , , , , , , , , , , ,1,1,1,2,000000,00000,01,000000,1, ,11,000000,1,00000,00000,035000,50,1,20,,2,1,011,207,2, ,3,01,077, , , ,1,23,0,626, ,0035000,0035400,017,501, ,1,01,47,0,0,0,0,1,0,1,0, , ,472061, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1275,01,1009555,0069,51,1,1,2,2,2,2,2,2, , ,2, , ,000100,060,01,01,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,7,000000,1,00000,00000,050000,40,1,52,,1,1,026,207,2, ,1,01,039,019, , ,1,2122,0,684, ,0050000,0050100,005,424,02,1,01,47,0,0,0,0,1,0,1,0, , ,475040, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,00002,1275,02,1009555,0044,42,1,6,2,2,2,2,2,2, ,2,2, , ,000050,020,01,01,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,01,000000,1, ,14,038000,2,00000,00000,000000,20,1,52,,1,2,014,011,2, ,1,01,758,040, , ,1,5613,0,313,2,0038000,0038050,028,424,02,1,01,47,0,0,0,0,1,0,1,0, , ,291111, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
